epoch,accuracy,loss
0,0.7402,0.034064314900897445
1,0.8664,0.020011950614862144
2,0.87335,0.018822762700729072
3,0.8461,0.02381375617813319
4,0.86285,0.020496001807041465
5,0.8811,0.016520787903573364
6,0.88745,0.015813252504449336
7,0.8858,0.01704355557914823
8,0.9025,0.014298513301182538
9,0.911,0.013470445207785816
10,0.8833,0.01689441581023857
11,0.8451,0.024319097977131606
12,0.50645,0.09481813157908618
13,0.16655,0.16391382858157158
14,0.16685,0.16373655118048192
15,0.1664,0.1641215618699789
16,0.1667,0.16371385358273982
17,0.1666,0.1639609510451555
18,0.16645,0.1640010342001915
19,0.1652,0.1640035980194807
20,0.16475,0.16411373451352118
21,0.1655,0.1642732761800289
22,0.1669,0.1636457108706236
23,0.1659,0.16364222407341003
24,0.17125,0.16351677604019643
25,0.18315,0.16230987161397933
26,0.17995,0.16301176153123378
27,0.17945,0.16287504330277444
28,0.18145,0.16250176899135113
29,0.18485,0.16205547243356705
30,0.1788,0.16298615410923958
31,0.18,0.162800896987319
32,0.1822,0.16245547138154506
33,0.1808,0.16263629019260406
34,0.18125,0.16265257738530636
35,0.18025,0.16283011451363563
36,0.17945,0.16286947309970856
37,0.18125,0.1627717910706997
38,0.1807,0.1627726850658655
39,0.18055,0.16281660571694373
40,0.18025,0.16270864985883235
41,0.1799,0.1627059546113014
42,0.1804,0.16265888661146163
43,0.1805,0.16246073983609677
44,0.1813,0.16247777819633483
45,0.18115,0.16253534808754921
46,0.179,0.16295714788138865
47,0.1797,0.16280268378555773
48,0.1812,0.1625243490189314
49,0.18125,0.16260077409446239
50,0.18,0.16273357093334198
51,0.18005,0.16262368813157083
52,0.18335,0.16230713784694673
53,0.18125,0.16272032842040063
54,0.18145,0.16244733147323132
55,0.18085,0.16249989598989487
56,0.18285,0.16221561305224896
57,0.18135,0.16250277265906335
58,0.18085,0.162580249607563
59,0.1812,0.16267927810549737
