Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1591893374.297605,10.0.2.15,54140,10.0.2.4,80,tcp,http,13.678502,132,493,SF,8,6,0,1,1,26,0,26,26,26,64,64,1,311,1,65,135,3764.0,5015,2068979566,1721648996
1591893374.298065,10.0.2.15,54142,10.0.2.4,80,tcp,http,13.689415,132,493,SF,7,5,0,2,2,27,0,27,27,27,64,64,1,311,1,68,152,4302.0,5973,3718292004,2759042888
1591893374.298517,10.0.2.15,54144,10.0.2.4,80,tcp,http,13.677586,133,493,SF,8,6,0,3,3,28,0,28,28,28,64,64,1,311,1,65,135,3764.0,5015,2649594120,4125976569
1591893374.298919,10.0.2.15,54146,10.0.2.4,80,tcp,http,13.677186,132,493,SF,8,6,0,4,4,29,0,29,29,29,64,64,1,311,1,65,135,3764.0,5015,1057576610,1144636895
1591893374.2992961,10.0.2.15,54148,10.0.2.4,80,tcp,http,13.676800,133,493,SF,7,5,0,5,5,30,0,30,30,30,64,64,1,311,1,68,152,4302.0,5973,452550192,1983158986
1591893374.299598,10.0.2.15,54150,10.0.2.4,80,tcp,http,13.676500,133,493,SF,8,6,0,6,6,31,0,31,31,31,64,64,1,311,1,65,135,3764.0,5015,4125994721,2338382078
1591893374.2998981,10.0.2.15,54152,10.0.2.4,80,tcp,http,13.676201,132,493,SF,8,6,0,7,7,32,0,32,32,32,64,64,1,311,1,65,135,3764.0,5015,1996986325,3578139290
1591893374.300179,10.0.2.15,54154,10.0.2.4,80,tcp,http,13.675922,132,493,SF,8,6,0,8,8,33,0,33,33,33,64,64,1,311,1,65,135,3764.0,5015,510741056,3856545509
1591893374.300533,10.0.2.15,54156,10.0.2.4,80,tcp,http,13.686795,133,493,SF,7,5,0,9,9,34,0,34,34,34,64,64,1,311,1,68,152,4302.0,5973,3985249278,313690803
1591893374.300786,10.0.2.15,54158,10.0.2.4,80,tcp,http,13.675307,132,493,SF,7,5,0,10,10,35,0,35,35,35,64,64,1,311,1,68,152,4302.0,5973,1926262948,2129941338
1591893374.3011382,10.0.2.15,54160,10.0.2.4,80,tcp,http,13.686038,133,493,SF,7,5,0,11,11,36,0,36,36,36,64,64,1,311,1,68,152,4302.0,5973,2157967267,4182285592
1591893374.30163,10.0.2.15,54162,10.0.2.4,80,tcp,http,13.674464,132,493,SF,7,5,0,12,12,37,0,37,37,37,64,64,1,311,1,68,152,4302.0,5973,4184106172,2917859342
1591893374.3019779,10.0.2.15,54164,10.0.2.4,80,tcp,http,13.684920,132,493,SF,7,5,0,13,13,38,0,38,38,38,64,64,1,311,1,68,152,4302.0,5973,2387347464,74078273
1591893374.302401,10.0.2.15,54166,10.0.2.4,80,tcp,http,13.673560,133,493,SF,7,5,0,14,14,39,0,39,39,39,64,64,1,311,1,68,152,4302.0,5973,3220681047,2324591073
1591893374.302763,10.0.2.15,54168,10.0.2.4,80,tcp,http,13.683935,133,493,SF,7,5,0,15,15,40,0,40,40,40,64,64,1,311,1,68,152,4302.0,5973,548816673,118758995
1591893374.3030698,10.0.2.15,54170,10.0.2.4,80,tcp,http,13.672892,133,493,SF,7,5,0,16,16,41,0,41,41,41,64,64,1,311,1,68,152,4302.0,5973,4080694503,43751971
1591893374.3033721,10.0.2.15,54172,10.0.2.4,80,tcp,http,13.672718,132,493,SF,7,5,0,17,17,42,0,42,42,42,64,64,1,311,1,68,152,4302.0,5973,2876969448,3509508931
1591893374.303759,10.0.2.15,54174,10.0.2.4,80,tcp,http,13.682638,131,493,SF,7,5,0,18,18,43,0,43,43,43,64,64,1,311,1,68,152,4302.0,5973,3501383138,2006027365
1591893374.3041608,10.0.2.15,54176,10.0.2.4,80,tcp,http,13.671797,132,493,SF,7,5,0,19,19,44,0,44,44,44,64,64,1,311,1,68,152,4302.0,5973,3010806468,1576040430
1591893374.3047788,10.0.2.15,54178,10.0.2.4,80,tcp,http,13.681404,133,493,SF,7,5,0,20,20,45,0,45,45,45,64,64,1,311,1,68,152,4302.0,5973,2725223566,2546457795
1591893374.305298,10.0.2.15,54180,10.0.2.4,80,tcp,http,13.670654,132,493,SF,7,5,0,21,21,46,0,46,46,46,64,64,1,311,1,68,152,4302.0,5973,1846972358,2009159296
1591893374.3056571,10.0.2.15,54182,10.0.2.4,80,tcp,http,13.670297,133,493,SF,7,5,0,22,22,47,0,47,47,47,64,64,1,311,1,68,152,4302.0,5973,4038821099,327266536
1591893374.30617,10.0.2.15,54184,10.0.2.4,80,tcp,http,13.669785,133,493,SF,7,5,0,23,23,48,0,48,48,48,64,64,1,311,1,68,152,4302.0,5973,146144002,474680540
