#separator \x09,,,,,,,,,,,,,,,,,,,,,
#set_separator,",",,,,,,,,,,,,,,,,,,,,
#empty_field,(empty),,,,,,,,,,,,,,,,,,,,
#unset_field,-,,,,,,,,,,,,,,,,,,,,
#path,conn,,,,,,,,,,,,,,,,,,,,
#open,2020-07-02-02-48-06,,,,,,,,,,,,,,,,,,,,
#fields,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
#types,time,string,addr,port,addr,port,enum,string,interval,count,count,string,bool,bool,count,string,count,count,count,count,set[string]
1593625700,CtyFGa3P5QGAsSNyTh,10.0.2.15,60496,10.0.2.5,4305,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CEN3rF4oqdb5I0c9cj,10.0.2.15,48272,10.0.2.5,3161,tcp,-,0.000007,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CqM4dSLf6Eh8qVaJ6,10.0.2.15,46398,10.0.2.5,1693,tcp,-,0.000018,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CjAQ1Q2hhgb0SOH9g5,10.0.2.15,60312,10.0.2.5,2705,tcp,-,0.000024,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CjIJ3r1627zZSufHga,10.0.2.15,54710,10.0.2.5,1424,tcp,-,0.000009,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CbzyDP2s81H1PrVR0c,10.0.2.15,35806,10.0.2.5,4870,tcp,-,0.000017,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CbkGAE4dzg7aX4vfvc,10.0.2.15,56384,10.0.2.5,80,tcp,-,0.00082,0,0,RSTO,-,-,0,ShAR,3,164,1,60,(empty),
1593625700,CbyuS31fyqwfhA7Kvc,10.0.2.15,35578,10.0.2.5,22,tcp,-,0.000977,0,0,RSTO,-,-,0,ShAR,3,164,1,60,(empty),
1593625700,C4p1794CHlIYb478L2,10.0.2.15,34566,10.0.2.5,1278,tcp,-,0.000007,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CXfnZL2gS0xdCxsSEe,10.0.2.15,49626,10.0.2.5,1742,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C0rJe32AQ7namE7uMg,10.0.2.15,54046,10.0.2.5,3031,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CBg8kF4J7ybFEYcYpl,10.0.2.15,52340,10.0.2.5,2544,tcp,-,0.000026,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CNOd011q3ChFu5Aihf,10.0.2.15,52788,10.0.2.5,2068,tcp,-,0.000006,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CuPrzB2mzEeavi23th,10.0.2.15,47856,10.0.2.5,2150,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C7s5gd2RkAyE7j8rb4,10.0.2.15,58356,10.0.2.5,2111,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CTODP4Xvl3Hyl8D4j,10.0.2.15,44760,10.0.2.5,16384,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CPis3B3zREKQwIJwP1,10.0.2.15,53794,10.0.2.5,4751,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CPmPSm3ks3MlhlWud9,10.0.2.15,54552,10.0.2.5,8403,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CfjaOPql59TYgVeag,10.0.2.15,56158,10.0.2.5,1708,tcp,-,0.000016,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CIaLAh2qHu9tPbrUM3,10.0.2.15,46214,10.0.2.5,4347,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CGgJKa4iWut7cgzEmd,10.0.2.15,37344,10.0.2.5,5718,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C1so5U3rOXhZ1zFine,10.0.2.15,35028,10.0.2.5,4371,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C7phJl4ZHfmSYP8Lo1,10.0.2.15,50554,10.0.2.5,1107,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CJvbgg3lxAPIsgrqJd,10.0.2.15,46952,10.0.2.5,16001,tcp,-,0.000016,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CL5HFu1xN74PlMOcM,10.0.2.15,48140,10.0.2.5,1050,tcp,-,0.000003,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CzglIC2EmBhs3LlQDe,10.0.2.15,35028,10.0.2.5,3240,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CGwTmE1b69KUZ3AxO7,10.0.2.15,51698,10.0.2.5,660,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CXy0f84A1csdyh8lS8,10.0.2.15,60388,10.0.2.5,409,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,ChVwQg2uD9iyw501wc,10.0.2.15,58064,10.0.2.5,10128,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cn2xPLMDw2bNEwm52,10.0.2.15,37914,10.0.2.5,41,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C0jnZ64MviGK1wx5c1,10.0.2.15,35602,10.0.2.5,1075,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C6Y7Zh42WqGptdErIf,10.0.2.15,55270,10.0.2.5,3415,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CdKkkM2kk8UdT7RB6e,10.0.2.15,37594,10.0.2.5,2140,tcp,-,0.000029,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cx66gC44YpZe8Sj93g,10.0.2.15,42720,10.0.2.5,6320,tcp,-,0.000007,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CetjaLAvT1KbXGZj7,10.0.2.15,48450,10.0.2.5,3872,tcp,-,0.000018,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CE9xhh4NbL85JRDkvc,10.0.2.15,57350,10.0.2.5,2516,tcp,-,0.000011,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CNtfyn1Wap2IB6G9p4,10.0.2.15,58878,10.0.2.5,3422,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CKRTUP3DDgnfv1EQdg,10.0.2.15,46872,10.0.2.5,2668,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CGIHaWMHc2Y4X6Umc,10.0.2.15,56012,10.0.2.5,4112,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CRcvzftjCUlMTFXic,10.0.2.15,39910,10.0.2.5,3713,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CLXlvA2HoabJbs0aRe,10.0.2.15,59732,10.0.2.5,426,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CJkr2C2Us5YD5H2s9h,10.0.2.15,47184,10.0.2.5,4350,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cw3rHF4fI9vvt5WpJ,10.0.2.15,35570,10.0.2.5,2350,tcp,-,0.000011,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C8b8CR0TmYGgHmdt9,10.0.2.15,34146,10.0.2.5,2081,tcp,-,0.000027,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,ChnYko1hsgmRT0Gr0h,10.0.2.15,41160,10.0.2.5,3719,tcp,-,0.000035,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CQp3hm2Bgvo8dPK7J1,10.0.2.15,40750,10.0.2.5,1143,tcp,-,0.000012,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Crw25k4pmQwab1FEFa,10.0.2.15,49714,10.0.2.5,2399,tcp,-,0.000014,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Ci4iPUW9iQC7l0Yhj,10.0.2.15,41970,10.0.2.5,2298,tcp,-,0.000007,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cx0XaJ226l7fXBabBi,10.0.2.15,44460,10.0.2.5,679,tcp,-,0.00001,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C2nmcw37KwLDyMddJ6,10.0.2.15,50724,10.0.2.5,2712,tcp,-,0.00001,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CRtOUC3IErXK1xhnBh,10.0.2.15,45300,10.0.2.5,3034,tcp,-,0.000043,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CrNDim2KHOtWpPlMRl,10.0.2.15,41666,10.0.2.5,9592,tcp,-,0.00003,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CWMe0h4LSBgjWEYU6f,10.0.2.15,42590,10.0.2.5,1775,tcp,-,0.000027,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cxc6iR2UU1fO5u4Hjg,10.0.2.15,47242,10.0.2.5,428,tcp,-,0.000006,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CTtpFp10d7bxnlRx97,10.0.2.15,39946,10.0.2.5,586,tcp,-,0.000026,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CHMxWk3QDsPFWWGKNe,10.0.2.15,51318,10.0.2.5,593,tcp,-,0.000035,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C8z9PrxY3Z15u6wLd,10.0.2.15,47726,10.0.2.5,9300,tcp,-,0.00001,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CLD8UM1fENAifTZRjh,10.0.2.15,49840,10.0.2.5,214,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CghWbt3VBHov2OM0M1,10.0.2.15,45932,10.0.2.5,1838,tcp,-,0.000015,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CKZlyy1nbZBUPUazg6,10.0.2.15,42492,10.0.2.5,9800,tcp,-,0.000005,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CCkBp64xWUBI9MwUag,10.0.2.15,46506,10.0.2.5,496,tcp,-,0.000017,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CrUGo81kMkZHjg3h1j,10.0.2.15,42762,10.0.2.5,44,tcp,-,0.000022,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CtGvlG4L0ewN5KXY3e,10.0.2.15,55010,10.0.2.5,418,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C2oGj34hghpJ7gmTmb,10.0.2.15,40176,10.0.2.5,1486,tcp,-,0.000008,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CJgBJbTzA8UKNesP7,10.0.2.15,44356,10.0.2.5,3242,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CStj0b4cXfaRCGElTl,10.0.2.15,43018,10.0.2.5,19540,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,CnZf0D31sN17j40k2k,10.0.2.15,49318,10.0.2.5,1961,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C80ZoW1RPei6MdmSNe,10.0.2.15,39838,10.0.2.5,6222,tcp,-,0.000023,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C9L3lm20uVhyjy0QXb,10.0.2.15,58788,10.0.2.5,1881,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,C8D0mU241pXdUdj0u4,10.0.2.15,43912,10.0.2.5,3143,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
1593625700,Cc1S5r3xobhBwRCxsg,10.0.2.15,44218,10.0.2.5,1576,tcp,-,0.000004,0,0,REJ,-,-,0,Sr,1,60,1,40,(empty),
